date,open,close,high,low,volume
1989-02-23,36.5000,8.5200,37.0000,36.2500,3409200
1989-02-22,37.2500,8.5200,37.5000,36.5000,8529200
1989-02-21,36.8800,8.7000,37.7500,36.7500,6808800
1989-02-17,36.2500,8.5200,37.0000,36.2500,4180800
1989-02-16,36.2500,8.4100,37.2500,36.0000,9138800
1989-02-15,35.7500,8.3800,36.2500,35.5000,11812400
1989-02-14,36.8800,8.2700,37.0000,35.2500,31843200
1989-02-13,36.7500,8.5600,37.2500,36.7500,8422000
1989-02-10,38.2500,8.6200,38.2500,37.0000,12441200
1989-02-09,38.2500,8.8500,39.0000,38.0000,5756400
1989-02-08,39.0000,8.8500,39.5000,38.0000,5612000
1989-02-07,38.2500,9.0200,39.2500,38.2500,5908800
1989-02-06,39.5000,8.9100,39.5000,38.2500,4174400
1989-02-03,40.0000,9.0800,40.2500,39.0000,6406400
1989-02-02,39.5000,9.1900,40.2500,39.2500,16927600
1989-02-01,37.7500,9.0800,39.6300,37.3800,17420000
1989-01-31,37.2500,8.7300,37.7500,36.7500,16442000
1989-01-30,37.6300,8.6500,38.0000,37.2500,20961200
1989-01-27,38.2500,8.7000,39.2500,36.2500,75976400
1989-01-26,40.7500,9.6600,42.1300,40.6300,10203600
